id,Latitude,Longitude,h,x,y,x_normed,y_normed,h_normed,Location_RURAL,Location_SUBURBAN,Location_UNKNOWN,Location_URBAN AND CENTER CITY
32_3_298,36.048705,-115.052942,0.0,-1697312.2516971272,-147336.8520224531,0.3022134817004866,-0.19826139459793823,-0.7343565982131641,0,1,0,0
32_3_299,35.987908,-115.148885,10.0,-1707137.969030119,-152110.42552359166,0.29315937989900304,-0.2026600984249914,-0.7188151348468185,0,1,0,0
32_3_538,36.142957,-115.056305,521.0,-1695439.361091972,-137087.08966088478,0.3039392938348516,-0.18881654810809959,0.0753536431734455,0,1,0,0
32_3_539,36.144416,-115.086388,533.0,-1698042.792610948,-136367.71912270808,0.3015403103095621,-0.18815366988100357,0.09400339921306032,0,1,0,0
32_3_540,36.141875,-115.078742,610.0,-1697431.0996191793,-136785.1740878318,0.3021039669293319,-0.18853834202489622,0.21367266713392202,0,0,0,1
32_3_556,36.148304,-115.144444,616.0,-1703041.4531442735,-134861.15819171397,0.2969341955796152,-0.18676541947881078,0.2229975451537294,0,0,0,1
32_3_557,36.15886,-115.110833,567.0,-1699852.257658248,-134349.78560188704,0.2998729429114107,-0.18629420507991543,0.14684437465863562,0,1,0,0
32_3_558,36.171637,-115.147501,631.0,-1702770.1259360325,-132282.64172407668,0.29718421540836376,-0.18438939442093533,0.24630974020324792,0,0,0,1
32_3_559,36.118028,-115.117499,588.0,-1701378.6075381879,-138637.50828153675,0.2984664575903589,-0.19024521204688036,0.17948144772796154,0,1,0,0
32_3_560,36.158582,-115.111666,0.0,-1699931.6678079036,-134364.24506629616,0.29979976885656195,-0.18630752903971587,-0.7343565982131641,0,0,0,1
32_3_561,36.163962,-115.11393,0.0,-1700005.9473863954,-133740.51583722568,0.29973132246810563,-0.18573278139074748,-0.7343565982131641,0,0,0,1
32_3_562,36.155249,-115.128055,575.0,-1701444.7920538054,-134417.69648414207,0.2984054705578833,-0.186356782907114,0.15927754535171215,0,0,0,1
32_3_563,36.176361,-115.103614,570.0,-1698816.098503028,-132593.5596919802,0.3008277322826051,-0.18467589593913555,0.15150681366853933,0,1,0,0
32_3_601,35.978149,-114.846313,0.0,-1680776.5248852368,-158805.5922071153,0.31745065460527566,-0.20882949234058726,-0.7343565982131641,0,1,0,0
32_3_602,35.969848,-114.835007,10.0,-1679971.4821475933,-159912.37413265422,0.3181924771770176,-0.2098493584619364,-0.7188151348468185,0,1,0,0
32_3_1001,36.173581,-115.141667,627.0,-1702214.0979141719,-132181.88315410883,0.29769657843935593,-0.18429654844145676,0.24009315485670965,0,0,0,1
32_3_1002,36.172749,-115.088333,2035.0,-1697560.4862808243,-133269.45374888432,0.3019847410278952,-0.18529871190165872,2.4283311968381804,0,0,0,1
